Section,Standard Designation ASTM A 352/A 352M-03 ASTM A 757/A 757M-00 JIS G 5152:1991 ISO 4991:1994 EN 10213-3:1995,"Grade, Class, Type, Symbol or Name LCA A1Q SCPL 1 C23-45BL G17Mn5 LCB G20Mn5 A2Q LCC C26-52L",Steel Number --- 1.1131 1.6220,UNS Number J02504 J03002 --- J03003 J02503 J02505,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LCA,---,J02504,0.25,0.70,0.60,0.04,0.045,0.50,0.50,0.20,Cu 0.30; V 0.03; P+S+Ni+Cr+Mo+Cu+V 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ASTM A 757/A 757M-00,A1Q,---,J03002,0.30,1.00,0.60,0.025,0.025,0.40,0.50,0.25,Cu 0.50; V 0.03; Ni+Cr+Mo+Cu+V 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,JIS G 5152:1991,SCPL 1,---,---,0.30,1.00,0.60,0.040,0.040,0.25,0.50,---,Cu 0.50; Cu+Ni+Cr 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ISO 4991:1994,C23-45BL,---,---,0.20,1.00-1.60,0.60,0.030,0.030,---,---,---,---
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G17Mn5,1.1131,---,0.15-0.20,1.00-1.60,0.60,0.020,0.020,---,---,---,---
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LCB,---,J03003,0.30,1.00,0.60,0.04,0.045,0.50,0.50,0.20,Cu 0.30; V 0.03; P+S+Ni+Cr+Mo+Cu+V 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G20Mn5,1.6220,---,0.17-0.23,1.00-1.60,0.60,0.020,0.020,---,0.80,---,---
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ASTM A 757/A 757M-00,A2Q,---,J02503,0.25,1.20,0.60,0.025,0.025,0.40,0.50,0.25,Cu 0.50; V 0.03; Ni+Cr+Mo+Cu+V 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LCC,---,J02505,0.25,1.20,0.60,0.04,0.045,0.50,0.50,0.20,V 0.03; Ni+Cr+Mo+Cu+V 1.00
7.1.3B Chemical Composition of Cast Carbon Steel for Pressure Purposes at Low Temperatures,ISO 4991:1994,C26-52L,---,---,0.25,1.20,0.60,0.030,0.030,---,---,---,---
