Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ASTM A 176-99,403,---,S40300,0.15,1.00,0.50,0.040,0.030,11.50-13.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS403,---,---,0.15,1.00,0.05,0.040,0.030,11.50-13.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS403,---,---,0.15,1.00,0.05,0.040,0.030,11.50-13.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUS403,---,---,0.15,1.00,0.05,0.040,0.030,11.50-13.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,410,---,S41000,0.08-0.15,1.00,1.00,0.040,0.030,11.5-13.5,0.75,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS410,---,---,0.15,1.00,1.00,0.040,0.030,11.5-13.0,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS410,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X12Cr13,1.4006,---,0.08-0.15,1.50,1.00,0.040,0.015,11.50-13.50,0.75,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,---,---,S41003,0.030,1.5,1.00,0.040,0.030,10.5-12.5,1.5,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS410L,---,---,0.030,1.00,1.00,0.040,0.030,11.00-13.50,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS410L,---,---,0.030,1.00,1.00,0.040,0.030,11.00-13.50,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,410S,---,S41008,0.08,1.00,1.00,0.040,0.030,11.5-13.5,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS410S,---,---,0.08,1.00,1.00,0.040,0.030,11.50-13.50,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS410S,---,---,0.08,1.00,1.00,0.040,0.030,11.50-13.50,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X6Cr13,1.4000,---,0.08,1.00,1.00,0.040,0.015,12.00-14.00,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ISO 4955:1994,X6Cr13,---,---,0.08,1.0,1.0,0.040,0.030,12.0-14.0,1.0,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),ASTM A 176-99,420,---,S42000,0.15 min,1.00,1.00,0.040,0.030,12.0-14.0,0.75,0.50,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS420J1,---,---,0.16-0.25,1.00,1.00,0.040,0.030,12.00-14.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS420J1,---,---,0.16-0.25,1.00,1.00,0.040,0.030,12.00-14.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X20Cr13,1.4021,---,0.16-0.25,1.50,1.00,0.040,0.030,12.00-14.00,---,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS420J2,---,---,0.26-0.40,1.00,1.00,0.040,0.030,12.00-14.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS420J2,---,---,0.26-0.40,1.00,1.00,0.040,0.030,12.00-14.00,0.60,---,---
8.1.1A Chemical Composition of Martensitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X30Cr13,1.4028,---,0.26-0.35,1.50,1.00,0.040,0.030,12.0-14.00,---,---,---
